country;iso;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Brunei Darussalam;BRN;0.73;0.69;1.86;0.99;-1.28;-1.33;2.69;-1.42;-3.42;-3.21;1.11;2.34;-0.36;-3.33;-3.67;-1.52;-3.52;0.32;-0.87;2.97;0.29
Bhutan;BTN;0.50;5.47;8.16;5.18;3.50;5.13;5.42;16.91;3.57;5.53;10.70;6.80;3.98;1.04;4.70;5.65;7.19;3.77;2.25;5.02;-10.60
Botswana;BWA;-0.10;-1.74;4.11;2.81;0.93;2.69;6.35;3.73;1.18;-15.89;7.88;4.72;-2.07;9.01;3.68;-6.70;5.05;1.97;2.08;1.04;-10.40
Central African Republic;CAF;-5.18;2.14;1.35;-7.66;3.72;-1.34;2.68;2.67;-0.04;6.27;2.49;2.61;4.15;-36.78;0.16;3.89;2.94;2.59;1.79;0.83;-1.62
Canada;CAN;4.20;0.69;1.90;0.89;2.13;2.23;1.60;1.08;-0.08;-4.03;1.95;2.14;0.66;1.25;1.84;-0.09;-0.14;1.81;1.34;0.43;-6.32
Central Europe and the Baltics;CEB;4.54;3.83;4.29;4.41;6.13;5.30;6.86;6.83;4.31;-3.32;1.81;3.76;1.06;0.88;3.43;4.27;3.01;5.36;5.15;4.08;-3.19
Switzerland;CHE;3.38;0.93;-0.83;-0.77;2.00;2.09;3.42;2.99;1.51;-3.51;2.17;0.69;0.11;0.63;1.11;0.49;0.96;0.42;2.11;0.42;-3.09
Channel Islands;CHI;5.47;-2.01;-2.38;-3.97;-0.58;0.55;4.04;5.04;;;;;;;;;;;;;
Chile;CHL;3.77;2.01;2.09;3.63;5.62;4.81;5.02;4.14;2.76;-2.13;4.79;5.18;5.13;2.32;0.77;1.11;0.55;-0.21;2.14;-1.02;-7.25
China;CHN;7.64;7.55;8.40;9.35;9.46;10.74;12.09;13.64;9.09;8.86;10.10;8.95;7.13;7.05;6.75;6.42;6.24;6.30;6.25;5.58;2.00
Cote d'Ivoire;CIV;-2.96;-4.68;-5.14;-7.00;0.80;-1.27;0.57;-1.06;2.57;1.43;4.61;-7.31;5.43;8.50;6.87;4.46;4.45;4.62;4.18;3.58;-0.55
Cameroon;CMR;1.13;1.62;1.71;2.61;4.15;-0.53;1.02;1.47;-0.03;-0.30;0.01;0.49;1.72;2.08;2.56;2.39;1.45;0.65;1.12;0.64;-2.42
Congo, Dem. Rep.;COD;-9.57;-5.01;-0.15;2.51;3.60;2.88;2.02;2.90;2.88;-0.38;3.69;3.35;3.55;4.85;5.76;3.35;-1.09;0.22;2.41;1.11;-1.49
Congo, Rep.;COG;3.55;-0.03;2.16;-1.94;0.02;3.95;4.01;-9.99;2.84;7.24;5.46;-1.06;6.94;-3.07;4.20;-5.83;-12.89;-6.64;-7.06;-2.41;-8.40
Colombia;COL;1.27;0.09;0.94;2.39;3.84;3.41;5.34;5.42;2.08;0.00;3.32;5.78;2.84;4.10;3.51;1.99;1.00;-0.16;0.64;1.31;-8.40
Comoros;COM;8.72;0.28;0.26;0.12;-0.01;0.84;0.61;-1.20;1.89;1.15;1.64;1.96;0.99;2.25;-0.07;-1.01;1.10;1.71;1.69;-0.13;-2.07
Cabo Verde;CPV;12.13;0.54;3.63;2.69;8.73;5.56;6.67;13.84;5.48;-2.29;0.38;2.73;-0.12;-0.33;-0.52;-0.11;3.54;2.50;3.39;4.60;-15.60
Costa Rica;CRI;1.84;1.60;1.68;2.67;2.85;2.46;5.80;6.71;3.30;-2.20;4.01;3.12;3.63;1.32;2.41;2.57;3.15;3.14;1.66;1.54;-4.77
Caribbean small states;CSS;3.03;1.36;2.89;4.88;3.26;2.97;6.12;2.75;0.62;-4.10;0.73;0.51;2.53;0.75;1.50;-0.37;-2.43;-0.95;0.35;0.59;-9.68
Cuba;CUB;5.57;2.88;1.14;3.52;5.52;11.00;11.92;7.17;4.05;1.39;2.32;2.73;2.92;2.64;0.95;4.37;0.49;1.86;2.32;-0.06;-10.82
Curacao;CUW;;3.01;0.27;-1.76;-1.51;-1.86;-0.94;0.47;0.91;-1.18;-1.18;-0.81;-0.89;-1.93;-2.52;-1.02;-1.92;-2.05;-1.65;-2.21;-17.13
Cayman Islands;CYM;;;;;;;;0.11;-3.23;-9.81;-5.36;-1.42;-1.21;-1.07;0.33;0.55;1.01;1.03;2.17;1.91;-7.33
Cyprus;CYP;4.84;2.84;2.54;1.38;3.63;3.35;2.98;2.88;1.08;-4.61;-0.36;-2.11;-4.91;-6.37;-0.69;4.01;6.09;4.75;4.37;4.11;-5.45
Czechia;CZE;4.29;3.43;1.77;3.61;4.78;6.45;6.48;4.96;1.84;-5.20;2.14;1.55;-0.92;-0.08;2.15;5.18;2.34;4.89;2.88;2.62;-5.73
Germany;DEU;2.77;1.51;-0.37;-0.76;1.20;0.79;3.93;3.11;1.15;-5.45;4.34;5.87;0.23;0.16;1.78;0.62;1.41;2.30;0.68;0.83;-3.78
Djibouti;DJI;;;;;;;;;;;;;;;5.19;5.69;5.34;3.74;3.09;3.89;-0.30
Dominica;DMA;2.87;0.22;-2.98;6.07;2.85;0.51;4.56;6.30;7.11;-1.18;0.72;-0.20;-1.27;-0.90;3.92;-3.62;2.66;-7.05;2.93;4.61;-17.26
Denmark;DNK;3.40;0.46;0.15;0.12;2.40;2.06;3.57;0.46;-1.09;-5.41;1.42;0.92;-0.15;0.51;1.11;1.62;2.44;2.16;1.49;1.13;-2.28
Dominican Republic;DOM;3.08;0.94;3.00;-2.73;1.17;7.98;7.77;6.07;1.90;-0.36;6.92;1.80;1.42;3.57;5.75;5.66;5.43;3.49;5.81;3.93;-7.72
Algeria;DZA;2.35;1.59;4.19;5.76;2.84;4.47;0.24;1.73;0.66;-0.21;1.69;0.96;1.41;0.80;1.77;1.65;1.16;-0.66;-0.71;-0.84;-6.73
East Asia & Pacific (excluding high income);EAP;6.57;5.99;7.10;8.02;8.23;9.09;10.21;11.64;7.81;7.20;9.13;7.82;6.66;6.40;6.13;5.88;5.79;5.90;5.83;5.19;0.82
Early-demographic dividend;EAR;2.47;-0.80;0.04;3.65;4.46;4.18;4.28;4.10;1.91;-0.70;4.92;3.33;2.72;2.66;2.71;3.02;3.09;3.18;2.49;1.07;-5.40
East Asia & Pacific;EAS;4.41;2.38;3.50;4.12;5.06;5.11;5.67;6.69;3.63;1.85;6.88;4.72;4.35;4.43;3.98;3.97;3.94;4.31;4.11;3.44;-0.59
Europe & Central Asia (excluding high income);ECA;8.39;2.62;5.47;6.86;8.15;7.20;7.98;7.51;3.82;-6.17;5.06;5.69;3.38;3.35;1.32;0.17;0.90;3.36;2.73;1.84;-1.48
Europe & Central Asia;ECS;4.21;2.06;1.40;1.53;2.87;2.35;3.51;3.27;0.62;-4.82;2.30;2.09;-0.04;0.37;1.41;1.57;1.46;2.48;1.85;1.53;-5.80
